01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	1
01001111	18	2	3	,386	,660	0
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	1
01001100	26	1	3	,509	,871	0
01001110	26	0	4	,625	1,069	3
01101110	25	1	3	,498	,852	0
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	2
01001110	26	0	4	,625	1,069	1
01101110	25	1	3	,498	,852	0
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	1
01001110	26	0	4	,625	1,069	3
01001100	26	1	3	,509	,871	0
